Date,Wave,New_Cases,New_Deaths,RA_New_Cases,RA_New_Deaths,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,vaccine_accept_already,results_count,effective_sample_size,ComRiskInd_Extremely-dangerous,ComRiskInd_Moderately-dangerous,ComRiskInd_Not-at-all-dangerous,ComRiskInd_Slightly-dangerous,ComRiskInd_Very-dangerous,avoid-sick_No,avoid-sick_Yes,avoid-touching-face_No,avoid-touching-face_Yes,caution-opening-mail_No,caution-opening-mail_Yes,cleaning-or-disinfecting-a-mobile-phone_No,cleaning-or-disinfecting-a-mobile-phone_Yes,cleaning-or-disinfecting-surfaces_No,cleaning-or-disinfecting-surfaces_Yes,cover-coughs_No,cover-coughs_Yes,eating-garlic_No,eating-garlic_Yes,getting-the-flu-vaccine_No,getting-the-flu-vaccine_Yes,isolation_No,isolation_Yes,meter-distance_No,meter-distance_Yes,none-of-these_No,none-of-these_Yes,taking-herbal-supplements_No,taking-herbal-supplements_Yes,using-antibiotics_No,using-antibiotics_Yes,using-homeopathic-remedies_No,using-homeopathic-remedies_Yes,washing-hands_No,washing-hands_Yes,wearing-a-face-mask-or-covering_No,wearing-a-face-mask-or-covering_Yes
20/07/2020,1,1693,96,1631,71.2,0.565107529,0.182240519,0.252651952,0,4590,2104.267,0.139,0.218,0.04,0.092,0.51,0.372,0.628,0.372,0.628,0.635,0.365,0.698,0.302,0.559,0.441,0.35,0.65,0.722,0.278,0.976,0.024,0.75,0.25,0.276,0.724,0.979,0.021,0.562,0.438,0.85,0.15,0.98,0.02,0.174,0.826,0.136,0.864
03/08/2020,2,1679,66,1780,75.92857143,0.517103827,0.209727132,0.273169041,0,5760,2913.457,0.132,0.202,0.047,0.108,0.51,0.354,0.646,0.338,0.662,0.643,0.357,0.626,0.374,0.496,0.504,0.379,0.621,0.723,0.277,0.968,0.032,0.762,0.238,0.288,0.712,0.981,0.019,0.636,0.364,0.778,0.222,0.937,0.063,0.162,0.838,0.129,0.871
16/08/2020,3,2081,79,2006.714286,65.28571429,0.516869278,0.218269568,0.264861154,0,3726,1819.804,0.119,0.209,0.053,0.092,0.528,0.299,0.701,0.41,0.59,0.663,0.337,0.669,0.331,0.562,0.438,0.3,0.7,0.75,0.25,0.955,0.045,0.827,0.173,0.3,0.7,0.971,0.029,0.656,0.344,0.825,0.175,0.945,0.055,0.192,0.808,0.128,0.872
30/08/2020,4,2858,82,2321.714286,85.21428571,0.525183045,0.223007949,0.251809007,0,4109,1954.019,0.122,0.186,0.051,0.11,0.531,0.323,0.677,0.337,0.663,0.598,0.402,0.598,0.402,0.606,0.394,0.31,0.69,0.741,0.259,0.954,0.046,0.851,0.149,0.289,0.711,0.971,0.029,0.549,0.451,0.831,0.169,0.98,0.02,0.2,0.8,0.141,0.859
13/09/2020,5,3636,73,3309.214286,98.57142857,0.539431819,0.185976638,0.274591543,0,3353,1815.32,0.16,0.213,0.037,0.079,0.511,0.384,0.616,0.427,0.573,0.706,0.294,0.683,0.317,0.577,0.423,0.375,0.625,0.732,0.268,0.939,0.061,0.831,0.169,0.3,0.7,0.992,0.008,0.556,0.444,0.757,0.243,0.963,0.037,0.198,0.802,0.108,0.892
27/09/2020,6,3874,78,4059.357143,118.7857143,0.545776989,0.176128343,0.278094668,0,1910,940.741,0.194,0.17,0.03,0.069,0.537,0.394,0.606,0.429,0.571,0.658,0.342,0.648,0.352,0.638,0.362,0.37,0.63,0.775,0.225,0.985,0.015,0.865,0.135,0.305,0.695,0.978,0.022,0.6,0.4,0.845,0.155,0.97,0.03,0.201,0.799,0.102,0.898
11/10/2020,7,4497,79,4159.714286,104.1428571,0.524398719,0.221309661,0.25429162,0,3077,1543.978,0.146,0.202,0.052,0.101,0.499,0.35,0.65,0.442,0.558,0.678,0.322,0.645,0.355,0.599,0.401,0.317,0.683,0.76,0.24,0.985,0.015,0.86,0.14,0.303,0.697,0.974,0.026,0.593,0.407,0.827,0.173,0.968,0.032,0.193,0.807,0.137,0.863
25/10/2020,8,3732,94,4018.785714,103.9285714,0.500085027,0.219651464,0.280263509,0,3049,1556.473,0.11,0.201,0.051,0.13,0.509,0.461,0.539,0.444,0.556,0.736,0.264,0.708,0.292,0.702,0.298,0.312,0.688,0.778,0.222,0.971,0.029,0.891,0.109,0.356,0.644,0.964,0.036,0.591,0.409,0.824,0.176,0.942,0.058,0.227,0.773,0.15,0.85
08/11/2020,9,3880,74,3428.857143,93.92857143,0.448861496,0.263427055,0.287711449,0,3175,1739.966,0.108,0.186,0.058,0.123,0.525,0.405,0.595,0.439,0.561,0.749,0.251,0.739,0.261,0.627,0.373,0.34,0.66,0.772,0.228,0.935,0.065,0.814,0.186,0.353,0.647,0.965,0.035,0.673,0.327,0.836,0.164,0.946,0.054,0.232,0.768,0.153,0.847
22/11/2020,10,4360,110,4282.285714,90.71428571,0.456631716,0.253265935,0.29010235,0,3205,1713.125,0.12,0.214,0.079,0.123,0.463,0.359,0.641,0.462,0.538,0.69,0.31,0.681,0.319,0.528,0.472,0.356,0.644,0.798,0.202,0.975,0.025,0.842,0.158,0.333,0.667,0.964,0.036,0.563,0.437,0.849,0.151,0.966,0.034,0.205,0.795,0.149,0.851
