Date,Wave,New_Cases,New_Deaths,RA_New_Cases,RA_New_Deaths,MA_New_Cases_1W,MA_New_Deaths_1W,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,vaccine_accept_already,avoid-sick_Yes,avoid-touching-face_Yes,caution-opening-mail_Yes,cleaning-or-disinfecting-a-mobile-phone_Yes,cleaning-or-disinfecting-surfaces_Yes,cover-coughs_Yes,eating-garlic_Yes,isolation_Yes,meter-distance_Yes,none-of-these_No,taking-herbal-supplements_Yes,using-antibiotics_Yes,using-homeopathic-remedies_Yes,washing-hands_Yes,wearing-a-face-mask-or-covering_Yes,ComRiskInd_dangerous,ComRiskInd_not-dangerous
20/07/2020,1,1693,96,1631,71.2,1604.714286,83.28571429,0.565107529,0.182240519,0.252651952,0,0.628,0.628,0.365,0.302,0.441,0.65,0.278,0.25,0.724,0.979,0.438,0.15,0.02,0.826,0.864,0.867,0.132
03/08/2020,2,1679,66,1780,75.92857143,1833,66.28571429,0.517103827,0.209727132,0.273169041,0,0.646,0.662,0.357,0.374,0.504,0.621,0.277,0.238,0.712,0.981,0.364,0.222,0.063,0.838,0.871,0.844,0.155
16/08/2020,3,2081,79,2006.714286,65.28571429,2021.857143,61,0.516869278,0.218269568,0.264861154,0,0.701,0.59,0.337,0.331,0.438,0.7,0.25,0.173,0.7,0.971,0.344,0.175,0.055,0.808,0.872,0.856,0.145
30/08/2020,4,2858,82,2321.714286,85.21428571,2645.428571,94.71428571,0.525183045,0.223007949,0.251809007,0,0.677,0.663,0.402,0.402,0.394,0.69,0.259,0.149,0.711,0.971,0.451,0.169,0.02,0.8,0.859,0.839,0.161
13/09/2020,5,3636,73,3309.214286,98.57142857,3467.571429,99.71428571,0.539431819,0.185976638,0.274591543,0,0.616,0.573,0.294,0.317,0.423,0.625,0.268,0.169,0.7,0.992,0.444,0.243,0.037,0.802,0.892,0.884,0.116
27/09/2020,6,3874,78,4059.357143,118.7857143,4362.428571,119,0.545776989,0.176128343,0.278094668,0,0.606,0.571,0.342,0.352,0.362,0.63,0.225,0.135,0.695,0.978,0.4,0.155,0.03,0.799,0.898,0.901,0.099
11/10/2020,7,4497,79,4159.714286,104.1428571,4278.714286,99,0.524398719,0.221309661,0.25429162,0,0.65,0.558,0.322,0.355,0.401,0.683,0.24,0.14,0.697,0.974,0.407,0.173,0.032,0.807,0.863,0.847,0.153
25/10/2020,8,3732,94,4018.785714,103.9285714,3977.857143,112.5714286,0.500085027,0.219651464,0.280263509,0,0.539,0.556,0.264,0.292,0.298,0.688,0.222,0.109,0.644,0.964,0.409,0.176,0.058,0.773,0.85,0.82,0.181
08/11/2020,9,3880,74,3428.857143,93.92857143,3561.714286,95.85714286,0.448861496,0.263427055,0.287711449,0,0.595,0.561,0.251,0.261,0.373,0.66,0.228,0.186,0.647,0.965,0.327,0.164,0.054,0.768,0.847,0.819,0.181
22/11/2020,10,4360,110,4282.285714,90.71428571,4365,96.14285714,0.456631716,0.253265935,0.29010235,0,0.641,0.538,0.31,0.319,0.472,0.644,0.202,0.158,0.667,0.964,0.437,0.151,0.034,0.795,0.851,0.797,0.202
06/12/2020,11,6089,151,5580.571429,132.5714286,5932.857143,132.1428571,0.517023303,0.213397068,0.269579629,0,0.537,0.521,0.298,0.308,0.346,0.607,0.284,0.156,0.694,0.976,0.39,0.183,0.041,0.787,0.871,0.843,0.157
20/12/2020,12,6982,221,6366.714286,152.8571429,6730,151.5714286,0.495870625,0.216692217,0.287437158,0,0.628,0.549,0.318,0.33,0.353,0.706,0.251,0.14,0.688,0.976,0.419,0.196,0.049,0.803,0.867,0.859,0.141
03/01/2021,13,6877,179,7172.857143,203.8571429,7426.428571,213.8571429,0.468117623,0.218374806,0.313507572,0,0.622,0.511,0.215,0.313,0.395,0.656,0.27,0.179,0.699,0.978,0.451,0.2,0.029,0.789,0.875,0.871,0.129
17/01/2021,14,11287,220,10184.21429,232.3571429,11414.71429,265.4285714,0.506204566,0.207279754,0.28651568,0,0.63,0.559,0.275,0.356,0.365,0.661,0.196,0.227,0.694,0.979,0.453,0.22,0.051,0.806,0.871,0.86,0.14
31/01/2021,15,12001,270,12170.35714,286.5,12721.71429,309,0.519557223,0.190551746,0.276692206,0.013198824,0.68,0.57,0.298,0.38,0.467,0.707,0.251,0.202,0.711,0.973,0.463,0.174,0.058,0.804,0.863,0.884,0.115
14/02/2021,16,6765,247,9939.571429,227.5,8518.714286,232.4285714,0.53749701,0.176336048,0.258266717,0.027900225,0.656,0.544,0.319,0.384,0.365,0.607,0.286,0.188,0.696,0.97,0.437,0.236,0.051,0.784,0.861,0.858,0.142
28/02/2021,17,5560,185,8369,213.0714286,7997.285714,239.5714286,0.620743726,0.137868389,0.206580121,0.034807764,0.683,0.601,0.351,0.419,0.472,0.681,0.243,0.184,0.706,0.972,0.418,0.176,0.062,0.815,0.869,0.851,0.149
14/03/2021,18,4714,97,6058.642857,161.4285714,5684.714286,165.7142857,0.63389454,0.132293293,0.175090169,0.058721998,0.688,0.538,0.285,0.341,0.424,0.696,0.229,0.147,0.684,0.971,0.435,0.173,0.063,0.781,0.86,0.829,0.171
28/03/2021,19,4083,85,5473.571429,144.5,5128.714286,128.4285714,0.649755377,0.101179781,0.160541477,0.088523365,0.629,0.53,0.352,0.367,0.408,0.628,0.223,0.189,0.672,0.976,0.369,0.192,0.026,0.78,0.853,0.825,0.176
