before_large_event,before_public_transit,before_restaurant,before_shop,before_work_outside,before_spent_time,before_mask,before_others_masked,before_others_distanced,after_large_event,after_public_transit,after_restaurant,after_shop,after_work_outside,after_spent_time,after_mask,after_others_masked,after_others_distanced
0.23876,0.122507,0.196855,0.43434,0.590354,0.271631,0.829163,0.735517,0.396416,0.202984,0.086777,0.162908,0.438924,0.507373,0.222607,0.837011,0.746935,0.414356
0.250345,0.138765,0.2151,0.410694,0.499725,0.218249,0.834553,0.728201,0.355964,0.233387,0.105361,0.163329,0.421395,0.482613,0.230473,0.824228,0.711498,0.396507
0.261408,0.139876,0.219365,0.371231,0.564436,0.226611,0.840119,0.674777,0.309727,0.221421,0.123571,0.194406,0.40321,0.489089,0.258117,0.837655,0.772692,0.394907
0.27113,0.118032,0.195037,0.404774,0.520278,0.175073,0.829174,0.759487,0.461157,0.219168,0.117809,0.17116,0.482003,0.479777,0.243389,0.839417,0.754582,0.44941
0.261764,0.117589,0.214831,0.429818,0.518175,0.233385,0.824255,0.709808,0.387037,0.241092,0.090526,0.165972,0.437484,0.47886,0.235257,0.807937,0.756186,0.384123
0.246018,0.112676,0.210273,0.427776,0.472953,0.268318,0.838368,0.757722,0.415303,0.210617,0.096014,0.17583,0.47715,0.522676,0.239133,0.826407,0.745338,0.40856
0.254968,0.107821,0.176493,0.365422,0.569871,0.232005,0.832101,0.724099,0.370327,0.192737,0.079326,0.133394,0.440024,0.514151,0.239372,0.81216,0.733368,0.413633
0.214184,0.101769,0.19329,0.451445,0.466479,0.238267,0.823968,0.678862,0.409457,0.218334,0.093387,0.153969,0.446301,0.518379,0.24646,0.836889,0.750715,0.39968
0.257259,0.116977,0.188507,0.396532,0.496781,0.235022,0.844385,0.698666,0.330433,0.207373,0.100558,0.147678,0.395486,0.506445,0.243972,0.838798,0.7516,0.408139
0.251354,0.111699,0.198389,0.418344,0.5115,0.224826,0.869128,0.783897,0.463242,0.221625,0.098984,0.15793,0.472729,0.471475,0.228417,0.834895,0.751815,0.400831
0.28955,0.134711,0.207255,0.397365,0.526135,0.241341,0.84819,0.754005,0.41261,0.221341,0.109339,0.172946,0.456255,0.43572,0.218084,0.834858,0.767651,0.46776
0.233934,0.113233,0.199748,0.393238,0.48451,0.214539,0.851839,0.747404,0.371187,0.204178,0.081062,0.099847,0.469342,0.474595,0.226641,0.834326,0.783967,0.394499
0.230359,0.108077,0.193112,0.368468,0.539629,0.239429,0.828319,0.729622,0.416052,0.217661,0.100441,0.120779,0.454474,0.527877,0.270389,0.825838,0.738166,0.418652
0.244939,0.108685,0.196042,0.446173,0.500217,0.263412,0.852437,0.711153,0.37795,0.202939,0.09846,0.134429,0.412162,0.538879,0.253062,0.822443,0.773695,0.452521
