Date,Region,NewCases,NewDeaths,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
21/03/2020,National,81,6,-23,-5,-30,-33,-11,9
22/03/2020,National,64,10,-32,-15,-39,-42,-7,10
23/03/2020,National,65,1,-27,-12,-25,-41,-27,13
24/03/2020,National,106,6,-29,-11,-26,-42,-31,13
25/03/2020,National,105,3,-38,-20,-31,-52,-59,21
26/03/2020,National,103,20,-34,-17,-30,-46,-34,15
27/03/2020,National,153,9,-36,-17,-34,-49,-33,16
28/03/2020,National,109,15,-42,-20,-46,-50,-23,15
29/03/2020,National,130,12,-47,-27,-52,-54,-15,15
30/03/2020,National,129,8,-36,-20,-32,-51,-34,16
31/03/2020,National,114,14,-35,-16,-32,-49,-35,15
01/04/2020,National,149,21,-31,-10,-28,-49,-35,15
02/04/2020,National,113,13,-33,-13,-29,-50,-35,16
03/04/2020,National,196,11,-35,-17,-34,-53,-34,17
04/04/2020,National,106,10,-40,-20,-45,-54,-25,15
05/04/2020,National,181,7,-43,-24,-50,-58,-17,14
06/04/2020,National,218,11,-34,-20,-31,-54,-34,16
07/04/2020,National,247,12,-33,-16,-30,-51,-35,15
08/04/2020,National,218,19,-34,-17,-30,-52,-36,15
09/04/2020,National,337,40,-31,-13,-28,-50,-35,15
10/04/2020,National,219,26,-43,-28,-37,-64,-60,24
11/04/2020,National,330,21,-43,-24,-46,-59,-30,17
12/04/2020,National,399,46,-46,-27,-50,-61,-17,15
13/04/2020,National,316,26,-33,-19,-29,-56,-35,17
14/04/2020,National,282,60,-34,-19,-29,-54,-36,16
15/04/2020,National,297,10,-35,-19,-29,-55,-36,17
16/04/2020,National,380,27,-34,-18,-29,-56,-36,17
17/04/2020,National,407,24,-38,-23,-35,-58,-35,18
18/04/2020,National,325,15,-43,-25,-46,-58,-24,15
19/04/2020,National,327,47,-45,-26,-49,-60,-14,14
20/04/2020,National,185,8,-34,-19,-29,-56,-34,16
21/04/2020,National,375,26,-35,-19,-31,-55,-36,16
22/04/2020,National,283,20,-34,-16,-28,-53,-36,15
23/04/2020,National,357,11,-32,-10,-28,-50,-37,15
24/04/2020,National,436,42,-49,-30,-45,-64,-43,22
25/04/2020,National,396,31,-50,-29,-53,-64,-30,19
26/04/2020,National,275,23,-53,-34,-58,-68,-18,18
27/04/2020,National,214,22,-43,-28,-38,-62,-36,19
28/04/2020,National,415,8,-43,-26,-38,-61,-38,18
29/04/2020,National,260,11,-42,-24,-36,-60,-37,18
30/04/2020,National,347,8,-40,-19,-35,-58,-36,18
01/05/2020,National,433,8,-44,-23,-42,-67,-59,25
02/05/2020,National,292,31,-46,-24,-50,-62,-28,18
03/05/2020,National,349,14,-48,-28,-55,-65,-14,17
04/05/2020,National,395,19,-38,-21,-34,-60,-35,18
05/05/2020,National,484,8,-39,-19,-34,-58,-36,18
06/05/2020,National,367,23,-38,-18,-33,-58,-36,18
07/05/2020,National,338,35,-44,-18,-37,-62,-58,24
08/05/2020,National,336,13,-44,-19,-41,-59,-35,19
09/05/2020,National,533,16,-48,-22,-52,-59,-26,17
10/05/2020,National,387,14,-48,-23,-54,-62,-12,16
11/05/2020,National,233,18,-39,-16,-36,-56,-34,18
12/05/2020,National,484,16,-38,-13,-33,-54,-35,18
13/05/2020,National,689,21,-37,-12,-32,-54,-34,17
14/05/2020,National,568,15,-36,-10,-32,-53,-34,17
15/05/2020,National,490,33,-36,-9,-34,-54,-32,16
16/05/2020,National,529,13,-37,-8,-43,-53,-22,15
17/05/2020,National,489,59,-40,-13,-50,-57,-8,15
18/05/2020,National,496,43,-33,-10,-32,-54,-33,17
19/05/2020,National,486,30,-29,1,-27,-48,-34,16
20/05/2020,National,693,21,-26,3,-24,-47,-34,16
