Date,Region,RA_NewCases,RA_NewDeaths,RA_retail_and_recreation,RA_grocery_and_pharmacy,RA_parks,RA_transit_stations,RA_workplaces,RA_residential,RA_combined
03/04/2020,National,115.5,10.64285714,-34.14285714,-15.71428571,-33.42857143,-47.21428571,-29.5,14.71428571,-35.29285714
04/04/2020,National,117.2857143,10.92857143,-35.35714286,-16.78571429,-34.5,-48.71428571,-30.5,15.14285714,-36.53571429
05/04/2020,National,125.6428571,10.71428571,-36.14285714,-17.42857143,-35.28571429,-49.85714286,-31.21428571,15.42857143,-37.4
06/04/2020,National,136.5714286,11.42857143,-36.64285714,-18,-35.71428571,-50.78571429,-31.71428571,15.64285714,-38.03571429
07/04/2020,National,146.6428571,11.85714286,-36.92857143,-18.35714286,-36,-51.42857143,-32,15.78571429,-38.43571429
08/04/2020,National,154.7142857,13,-36.64285714,-18.14285714,-35.92857143,-51.42857143,-30.35714286,15.35714286,-37.97142857
09/04/2020,National,171.4285714,14.42857143,-36.42857143,-17.85714286,-35.78571429,-51.71428571,-30.42857143,15.35714286,-37.95714286
10/04/2020,National,176.1428571,15.64285714,-36.92857143,-18.64285714,-36,-52.78571429,-32.35714286,15.92857143,-38.94285714
11/04/2020,National,191.9285714,16.07142857,-37,-18.92857143,-36,-53.42857143,-32.85714286,16.07142857,-39.29285714
12/04/2020,National,211.1428571,18.5,-36.92857143,-18.92857143,-35.85714286,-53.92857143,-33,16.07142857,-39.44285714
13/04/2020,National,224.5,19.78571429,-36.71428571,-18.85714286,-35.64285714,-54.28571429,-33.07142857,16.14285714,-39.47142857
14/04/2020,National,236.5,23.07142857,-36.64285714,-19.07142857,-35.42857143,-54.64285714,-33.14285714,16.21428571,-39.58571429
15/04/2020,National,247.0714286,22.28571429,-36.92857143,-19.71428571,-35.5,-55.07142857,-33.21428571,16.35714286,-39.90714286
16/04/2020,National,266.1428571,23.28571429,-37,-20.07142857,-35.5,-55.5,-33.28571429,16.42857143,-40.11428571
17/04/2020,National,281.2142857,24.21428571,-37.21428571,-20.5,-35.57142857,-55.85714286,-33.35714286,16.5,-40.36428571
18/04/2020,National,296.8571429,24.57142857,-37.42857143,-20.85714286,-35.64285714,-56.14285714,-33.28571429,16.5,-40.55714286
19/04/2020,National,307.2857143,27.42857143,-37.57142857,-21,-35.57142857,-56.28571429,-33.07142857,16.5,-40.62857143
20/04/2020,National,304.9285714,27.21428571,-37.57142857,-20.92857143,-35.42857143,-56.42857143,-33.07142857,16.5,-40.66428571
21/04/2020,National,314.0714286,28.21428571,-37.71428571,-21.14285714,-35.5,-56.71428571,-33.14285714,16.57142857,-40.84285714
22/04/2020,National,318.7142857,28.28571429,-37.71428571,-21.07142857,-35.35714286,-56.78571429,-33.14285714,16.57142857,-40.85714286
23/04/2020,National,320.1428571,26.21428571,-37.78571429,-20.85714286,-35.35714286,-56.78571429,-33.28571429,16.57142857,-40.89285714
24/04/2020,National,335.6428571,27.35714286,-38.21428571,-21,-35.92857143,-56.78571429,-32.07142857,16.42857143,-40.83571429
25/04/2020,National,340.3571429,28.07142857,-38.71428571,-21.35714286,-36.42857143,-57.14285714,-32.07142857,16.57142857,-41.17857143
26/04/2020,National,331.5,26.42857143,-39.21428571,-21.85714286,-37,-57.64285714,-32.14285714,16.78571429,-41.59285714
27/04/2020,National,324.2142857,26.14285714,-39.92857143,-22.5,-37.64285714,-58.07142857,-32.21428571,16.92857143,-42.08571429
28/04/2020,National,333.7142857,22.42857143,-40.57142857,-23,-38.28571429,-58.57142857,-32.35714286,17.07142857,-42.57142857
29/04/2020,National,331.0714286,22.5,-41.07142857,-23.35714286,-38.78571429,-58.92857143,-32.42857143,17.14285714,-42.92857143
30/04/2020,National,328.7142857,21.14285714,-41.5,-23.42857143,-39.21428571,-59.07142857,-32.42857143,17.21428571,-43.15
01/05/2020,National,330.5714286,20,-41.92857143,-23.42857143,-39.71428571,-59.71428571,-34.14285714,17.71428571,-43.85714286
02/05/2020,National,328.2142857,21.14285714,-42.14285714,-23.35714286,-40,-60,-34.42857143,17.92857143,-44.07857143
03/05/2020,National,329.7857143,18.78571429,-42.35714286,-23.5,-40.42857143,-60.35714286,-34.42857143,18.14285714,-44.28571429
04/05/2020,National,344.7857143,19.57142857,-42.64285714,-23.64285714,-40.78571429,-60.64285714,-34.5,18.28571429,-44.51428571
05/05/2020,National,352.5714286,18.28571429,-42.92857143,-23.64285714,-41,-60.85714286,-34.5,18.42857143,-44.69285714
06/05/2020,National,358.5714286,18.5,-43.21428571,-23.78571429,-41.35714286,-61.21428571,-34.5,18.64285714,-44.92857143
07/05/2020,National,357.2142857,20.21428571,-44.07142857,-24.35714286,-42,-62.07142857,-36,19.28571429,-45.88571429
08/05/2020,National,350.0714286,18.14285714,-43.71428571,-23.57142857,-41.71428571,-61.71428571,-35.42857143,19.07142857,-45.44285714
09/05/2020,National,359.8571429,17.07142857,-43.57142857,-23.07142857,-41.64285714,-61.35714286,-35.14285714,18.92857143,-45.17142857
10/05/2020,National,367.8571429,16.42857143,-43.21428571,-22.28571429,-41.35714286,-60.92857143,-34.71428571,18.78571429,-44.73571429
11/05/2020,National,369.2142857,16.14285714,-42.92857143,-21.42857143,-41.21428571,-60.5,-34.57142857,18.71428571,-44.37857143
12/05/2020,National,374.1428571,16.71428571,-42.57142857,-20.5,-40.85714286,-60,-34.35714286,18.71428571,-43.95
13/05/2020,National,404.7857143,17.42857143,-42.21428571,-19.64285714,-40.57142857,-59.57142857,-34.14285714,18.64285714,-43.55
14/05/2020,National,420.5714286,17.92857143,-41.92857143,-19,-40.35714286,-59.21428571,-34,18.57142857,-43.23571429
15/05/2020,National,424.6428571,19.71428571,-41.35714286,-18,-39.78571429,-58.28571429,-32.07142857,17.92857143,-42.24285714
16/05/2020,National,441.5714286,18.42857143,-40.71428571,-16.85714286,-39.28571429,-57.64285714,-31.64285714,17.71428571,-41.59285714
17/05/2020,National,451.5714286,21.64285714,-40.14285714,-15.78571429,-38.92857143,-57.07142857,-31.21428571,17.57142857,-41
18/05/2020,National,458.7857143,23.35714286,-39.78571429,-15,-38.78571429,-56.64285714,-31.07142857,17.5,-40.62142857
19/05/2020,National,458.9285714,24.92857143,-39.07142857,-13.57142857,-38.28571429,-55.92857143,-30.92857143,17.35714286,-39.95
20/05/2020,National,482.2142857,24.78571429,-38.21428571,-12.07142857,-37.64285714,-55.14285714,-30.78571429,17.21428571,-39.19285714
21/05/2020,National,527.5714286,24.85714286,-36.78571429,-9.928571429,-36.5,-54.07142857,-30.71428571,16.92857143,-38.07142857
22/05/2020,National,548.8571429,27.35714286,-35.57142857,-8.071428571,-35.42857143,-53.35714286,-31.5,16.92857143,-37.34285714
